G96-1(9.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名称,保留时间,面积,% 面积,高度,积分类型,含量,单位,峰类型,峰代码,峰标签,修正 面积~,相对 RT,RT 比率,开始时间,结束时间,基线开始,基线结束,斜率,漂移,% 高,% 含量,响应,浓度,峰级别,组份 类型,杂质 类型,峰内 点数,RF,控制值,% 偏差,宽度,开始高度,结束高度,拐点处宽度,二阶 导数 Apex,曲线 ID,优化 峰 宽度,曲线 RT,相对 响应,主 峰,峰比率 作用,副 峰 1,峰比率 1,峰比率 参比 值 1,峰比率 容差 1,峰比率 % 容差 1,副 峰 2,峰比率 2,峰比率 参比 值 2,峰比率 % 容差 2,峰比率 容差 2,副 峰 3,峰比率 3,峰比率 参比 值 3,峰比率 % 容差 3,峰比率 容差 3,副 峰 4,峰比率 4,峰比率 参比 值 4,峰比率 % 容差 4,峰比率 容差 4,峰比率 参比 结果 ID,% 调整面积,"相对于 ""主要组分"" 的 ""% 面积""",% w/w,杂质 响应,杂质,最大 不纯度,杂质 主要组分,组中的 峰 数,报告 阈值,识别 阈值,检定 阈值,最大 阈值,高于 报告 阈值,高于 识别 阈值,高于 检定 阈值,超过 最大 阈值,ICH 阈值,RRT~,保留时间 参比 已使用,纯度 (组分),已输入 X 值,
1,峰1,7.805,383332,40.04,10418,BV,,,找到,Q20 C02 ,,383332,,,7.208,8.625,7.208,10.492,4.56E-02,6.73E-01,46.63,,3.83E+05,,,,,170,,,,85,0,10,,,45939,,7.984,1,,,,,,,,,,,,,,,,,,,,,,,,40.039,,,,,,,,,,,,,,,,,,,100,,
2,峰2,9.339,456609,47.69,9881,VB,,,找到,Q20 C02 ,,456609,,,8.625,10.492,7.208,10.492,4.56E-02,6.73E-01,44.23,,4.57E+05,,,,,224,,,,112,10,0,,,45940,,9.783,1,,,,,,,,,,,,,,,,,,,,,,,,47.692,,,,,,,,,,,,,,,,,,,100,,
3,,14.026,117462,12.27,2042,BB,,,未知,C02 ,,117462,,,13.225,14.858,13.225,14.858,2.15E-01,-2.54E+00,9.14,,,,,,,196,,,,98,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.269,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G292-1(8.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名称,保留时间,面积,% 面积,高度,积分类型,含量,单位,峰类型,峰代码,峰标签,修正 面积~,相对 RT,RT 比率,开始时间,结束时间,基线开始,基线结束,斜率,漂移,% 高,% 含量,响应,浓度,峰级别,组份 类型,杂质 类型,峰内 点数,RF,控制值,% 偏差,宽度,开始高度,结束高度,拐点处宽度,二阶 导数 Apex,曲线 ID,优化 峰 宽度,曲线 RT,相对 响应,主 峰,峰比率 作用,副 峰 1,峰比率 1,峰比率 参比 值 1,峰比率 容差 1,峰比率 % 容差 1,副 峰 2,峰比率 2,峰比率 参比 值 2,峰比率 % 容差 2,峰比率 容差 2,副 峰 3,峰比率 3,峰比率 参比 值 3,峰比率 % 容差 3,峰比率 容差 3,副 峰 4,峰比率 4,峰比率 参比 值 4,峰比率 % 容差 4,峰比率 容差 4,峰比率 参比 结果 ID,% 调整面积,"相对于 ""主要组分"" 的 ""% 面积""",% w/w,杂质 响应,杂质,最大 不纯度,杂质 主要组分,组中的 峰 数,报告 阈值,识别 阈值,检定 阈值,最大 阈值,高于 报告 阈值,高于 识别 阈值,高于 检定 阈值,超过 最大 阈值,ICH 阈值,RRT~,保留时间 参比 已使用,纯度 (组分),已输入 X 值,
1,峰1,7.808,135843,13.29,3479,BV,,,找到,Q20 C02 ,,135843,,,7.167,8.625,7.167,10.292,1.05E-01,-5.31E-01,18.82,,1.36E+05,,,,,175,,,,87.5,0,208,,,45939,,7.984,1,,,,,,,,,,,,,,,,,,,,,,,,13.287,,,,,,,,,,,,,,,,,,,100,,
2,峰2,9.343,126118,12.34,2529,VB,,,找到,Q20 C02 ,,126118,,,8.625,10.292,7.167,10.292,1.05E-01,-5.31E-01,13.68,,1.26E+05,,,,,200,,,,100,208,0,,,45940,,9.783,1,,,,,,,,,,,,,,,,,,,,,,,,12.336,,,,,,,,,,,,,,,,,,,100,,
3,,13.821,760422,74.38,12481,BB,,,未知,C02 ,,760422,,,13.075,15.558,13.075,15.558,2.43E-01,-3.20E+00,67.5,,,,,,,298,,,,149,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,74.377,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G292(8.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名称,保留时间,面积,% 面积,高度,积分类型,含量,单位,峰类型,峰代码,峰标签,修正 面积~,相对 RT,RT 比率,开始时间,结束时间,基线开始,基线结束,斜率,漂移,% 高,% 含量,响应,浓度,峰级别,组份 类型,杂质 类型,峰内 点数,RF,控制值,% 偏差,宽度,开始高度,结束高度,拐点处宽度,二阶 导数 Apex,曲线 ID,优化 峰 宽度,曲线 RT,相对 响应,主 峰,峰比率 作用,副 峰 1,峰比率 1,峰比率 参比 值 1,峰比率 容差 1,峰比率 % 容差 1,副 峰 2,峰比率 2,峰比率 参比 值 2,峰比率 % 容差 2,峰比率 容差 2,副 峰 3,峰比率 3,峰比率 参比 值 3,峰比率 % 容差 3,峰比率 容差 3,副 峰 4,峰比率 4,峰比率 参比 值 4,峰比率 % 容差 4,峰比率 容差 4,峰比率 参比 结果 ID,% 调整面积,"相对于 ""主要组分"" 的 ""% 面积""",% w/w,杂质 响应,杂质,最大 不纯度,杂质 主要组分,组中的 峰 数,报告 阈值,识别 阈值,检定 阈值,最大 阈值,高于 报告 阈值,高于 识别 阈值,高于 检定 阈值,超过 最大 阈值,ICH 阈值,RRT~,保留时间 参比 已使用,纯度 (组分),已输入 X 值,
1,峰1,7.818,134479,13.08,3494,BV,,,找到,Q20 C02 ,,134479,,,7.2,8.608,7.2,10.258,8.88E-02,-3.96E-01,18.61,,1.35E+05,,,,,169,,,,84.5,0,184,,,45939,,7.984,1,,,,,,,,,,,,,,,,,,,,,,,,13.079,,,,,,,,,,,,,,,,,,,100,,
2,峰2,9.329,138459,13.47,2928,VB,,,找到,Q20 C02 ,,138459,,,8.608,10.258,7.2,10.258,8.88E-02,-3.96E-01,15.6,,1.39E+05,,,,,198,,,,99,184,0,,,45940,,9.783,1,,,,,,,,,,,,,,,,,,,,,,,,13.466,,,,,,,,,,,,,,,,,,,100,,
3,,13.811,752938,73.23,12199,BB,,,未知,C02 ,,752938,,,13.067,15.558,13.067,15.558,2.50E-01,-3.32E+00,64.97,,,,,,,299,,,,149.5,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,73.227,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G393-4(7.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名称,保留时间,面积,% 面积,高度,积分类型,含量,单位,峰类型,峰代码,峰标签,修正 面积~,相对 RT,RT 比率,开始时间,结束时间,基线开始,基线结束,斜率,漂移,% 高,% 含量,响应,浓度,峰级别,组份 类型,杂质 类型,峰内 点数,RF,控制值,% 偏差,宽度,开始高度,结束高度,拐点处宽度,二阶 导数 Apex,曲线 ID,优化 峰 宽度,曲线 RT,相对 响应,主 峰,峰比率 作用,副 峰 1,峰比率 1,峰比率 参比 值 1,峰比率 容差 1,峰比率 % 容差 1,副 峰 2,峰比率 2,峰比率 参比 值 2,峰比率 % 容差 2,峰比率 容差 2,副 峰 3,峰比率 3,峰比率 参比 值 3,峰比率 % 容差 3,峰比率 容差 3,副 峰 4,峰比率 4,峰比率 参比 值 4,峰比率 % 容差 4,峰比率 容差 4,峰比率 参比 结果 ID,% 调整面积,"相对于 ""主要组分"" 的 ""% 面积""",% w/w,杂质 响应,杂质,最大 不纯度,杂质 主要组分,组中的 峰 数,报告 阈值,识别 阈值,检定 阈值,最大 阈值,高于 报告 阈值,高于 识别 阈值,高于 检定 阈值,超过 最大 阈值,ICH 阈值,RRT~,保留时间 参比 已使用,纯度 (组分),已输入 X 值,
1,峰1,7.807,371192,41.05,9670,BV,,,找到,Q20 C02 ,,371192,,,7.133,8.633,7.133,10.425,1.61E-01,-9.82E-01,41.36,,3.71E+05,,,,,180,,,,90,0,456,,,45939,,7.984,1,,,,,,,,,,,,,,,,,,,,,,,,41.049,,,,,,,,,,,,,,,,,,,100,,
